,soil_moisture_%,soil_pH,pesticide_usage_ml,latitude,longitude,region_le,croptype_le,cropdisease_le,irrigation_type_le,fertilizer_type_le,sowing_month,sowing_season
57,18.52,5.75,19.79,31.460153,72.89376,2,1,1,3,2,1,1
58,33.14,5.55,7.36,21.906149,85.560341,3,4,2,3,0,3,2
59,17.75,6.73,49.94,11.837268,71.61581,4,3,2,0,2,2,1
60,31.85,6.67,40.69,20.751749,87.76182,3,1,3,2,2,1,1
61,35.54,6.13,9.11,19.316171,72.602309,4,0,1,2,2,1,1
62,22.38,6.83,9.66,31.181871,77.00228,2,0,2,1,0,3,2
63,17.92,6.36,46.81,29.060238,88.43075,0,3,0,0,1,3,2
64,33.01,5.64,25.41,33.535186,81.924475,3,3,0,2,0,1,1
65,11.74,5.66,10.12,22.165819,83.342651,3,3,3,3,1,2,1
66,10.27,6.1,38.62,22.506559,86.667084,1,4,2,0,0,1,1
67,25.27,6.42,10.18,21.502423,83.792201,4,4,3,2,0,1,1
68,25.25,6.3,27.97,18.734382,84.547582,2,2,0,3,2,1,1
69,15.13,5.89,38.95,31.606172,82.544348,3,4,2,2,0,3,2
70,32.1,7.09,21.59,25.37521,80.141356,4,0,2,0,2,2,1
71,32.81,6.14,8.79,34.774651,80.481371,4,3,1,1,1,3,2
72,23.56,7.05,30.11,34.110251,82.054016,0,1,2,1,2,2,1
73,42.09,6.12,30.15,27.570772,88.942172,1,2,2,0,0,3,2
74,22.66,6.23,11.97,30.877996,87.673643,4,3,1,3,2,2,1
75,30.9,5.81,23.49,17.123198,84.97073,1,2,0,2,2,3,2
76,41.64,5.89,28.74,31.825048,71.043596,0,0,1,2,1,1,1
77,34.9,6.53,9.13,20.372423,77.929079,1,4,3,3,0,1,1
78,17.86,6.14,46.28,21.215037,70.105024,2,1,1,0,0,2,1
79,29.21,6.95,23.89,24.918476,70.328707,3,2,0,0,2,3,2
80,25.02,6.73,47.9,19.761343,79.402702,3,1,1,1,2,3,2
81,22.5,5.64,7.0,34.52048,79.570623,0,4,0,1,2,3,2
82,11.29,5.9,26.3,31.553463,70.956081,2,0,1,2,1,1,1
83,25.29,6.3,46.59,11.973175,82.049066,2,1,1,2,0,3,2
84,12.8,6.82,6.91,33.697609,71.500823,0,4,1,1,0,2,1
85,43.35,5.79,22.23,33.720588,77.440268,1,2,0,1,0,3,2
86,23.93,6.8,10.3,17.139422,88.329578,1,1,2,2,1,2,1
87,25.82,7.3,20.63,31.284051,84.236182,3,4,0,1,1,1,1
88,17.85,7.47,41.16,17.732268,89.991901,0,3,3,1,0,3,2
89,12.58,7.44,24.47,14.116427,76.453215,4,3,1,3,2,1,1
90,39.61,6.0,33.84,28.015819,82.102778,1,1,2,0,1,3,2
91,11.59,6.78,45.0,16.121948,86.146986,2,4,3,0,0,3,2
92,15.53,6.33,49.46,24.04128,76.382318,2,4,1,1,1,2,1
93,14.93,5.6,47.02,34.899235,79.336302,4,2,3,3,0,3,2
94,43.08,6.51,44.71,31.179309,78.618555,2,4,1,2,1,3,2
95,11.58,5.6,17.59,19.847593,85.897945,4,1,1,2,1,3,2
96,31.09,6.3,32.28,14.062551,89.812315,3,2,1,2,2,3,2
97,27.76,6.52,9.93,31.802478,82.58521,1,1,1,1,1,2,1
98,17.96,5.6,41.97,14.769608,78.820771,1,3,3,2,2,1,1
99,27.56,6.72,19.63,14.329561,88.242483,3,0,1,3,1,3,2
100,26.95,7.41,14.33,33.342509,85.908107,0,3,2,1,1,3,2
101,23.29,7.46,8.56,15.0517,80.771558,1,3,1,1,1,2,1
102,31.55,6.67,23.6,10.129536,81.007051,3,4,3,0,2,3,2
103,32.77,7.01,38.24,33.348065,70.726797,4,0,3,3,1,1,1
104,40.69,5.52,43.3,14.062357,79.178289,3,1,0,2,2,2,1
105,37.68,6.64,19.76,21.936352,88.716508,2,1,3,2,1,2,1
106,36.38,7.41,35.05,33.07765,87.756028,3,0,2,3,2,2,1
107,31.51,5.94,29.72,15.460291,74.949309,0,1,2,2,1,2,1
108,28.49,6.22,29.15,27.007381,84.338359,1,0,3,3,1,1,1
109,14.62,6.33,16.45,20.592435,84.007698,2,0,2,0,0,1,1
110,11.11,6.32,49.68,19.391138,83.654607,2,0,0,2,0,2,1
111,16.25,6.57,25.84,15.741602,79.212506,0,4,0,0,0,3,2
112,38.33,6.34,6.51,28.513527,78.045307,2,4,0,0,1,3,2
113,27.64,6.08,18.58,16.878848,81.134362,2,2,0,1,2,1,1
114,27.35,7.44,11.71,31.233523,76.014728,4,3,3,2,0,2,1
115,24.44,6.33,43.12,16.71154,83.473438,2,3,2,0,0,1,1
116,35.35,6.62,47.17,32.861032,83.912526,3,3,3,0,2,3,2
117,21.26,6.07,9.44,19.267623,78.278603,3,3,0,2,0,3,2
118,19.13,7.37,42.5,16.433169,86.431839,3,4,3,2,1,2,1
119,35.65,6.2,6.52,20.309806,86.850894,4,2,0,0,1,1,1
120,27.7,6.25,5.3,23.393453,75.733771,2,2,3,2,2,3,2
121,42.13,6.55,21.79,15.646431,83.680833,3,4,2,2,2,2,1
122,23.27,6.61,40.3,15.744162,88.025459,2,0,3,2,1,3,2
123,42.35,6.87,48.27,33.221874,75.985538,0,4,3,1,2,3,2
124,23.43,6.98,9.4,33.87146,77.934061,1,1,2,1,2,1,1
125,27.17,6.21,18.29,19.5,85.677806,0,0,3,0,1,1,1
126,13.73,5.51,25.2,18.847857,71.861285,0,1,1,3,0,3,2
127,20.21,6.28,22.13,11.581679,78.693525,4,4,3,3,1,1,1
128,18.81,5.99,47.7,21.005573,78.612324,2,1,0,1,2,2,1
129,31.11,6.89,40.19,19.125388,88.641343,0,1,0,2,1,2,1
130,43.36,6.42,27.47,27.88091,85.781535,1,4,3,2,1,3,2
131,28.7,7.35,39.6,11.107417,89.672164,1,0,3,0,2,3,2
132,13.71,5.7,21.84,13.768623,89.954055,0,0,1,3,0,2,1
133,14.06,7.38,26.43,17.506602,86.203719,4,4,1,2,0,2,1
134,42.55,6.98,40.9,19.889559,84.747767,2,2,3,2,2,3,2
135,23.61,6.91,13.41,31.565914,80.5543,1,0,3,0,1,2,1
136,30.55,6.2,31.56,12.923723,77.466121,1,0,3,1,1,3,2
137,14.83,6.27,12.51,25.485249,87.310445,4,3,3,3,1,2,1
138,38.53,7.43,12.53,10.817377,74.496868,3,2,3,2,0,3,2
139,29.24,5.73,24.86,28.783637,75.954179,1,0,3,0,1,1,1
140,40.18,5.67,32.46,30.338247,86.10881,0,1,1,1,1,2,1
141,15.89,7.46,48.32,27.535663,72.653817,1,3,1,0,2,2,1
142,27.13,6.65,28.2,33.756352,76.545786,3,0,2,0,0,2,1
143,39.75,7.09,20.2,18.593491,83.651039,4,1,2,1,0,3,2
144,14.35,7.22,18.58,19.296094,88.076005,4,4,3,3,1,2,1
145,25.02,5.68,5.36,27.350775,79.554005,0,2,2,2,2,2,1
146,20.97,7.26,28.87,28.060801,82.561601,2,4,3,3,2,1,1
147,40.1,5.67,40.6,29.474241,83.809522,1,0,1,2,0,1,1
148,31.24,5.88,22.36,34.672063,88.678488,3,3,3,3,0,1,1
149,33.9,7.03,6.79,27.815727,85.3422,0,3,3,1,2,1,1
150,28.82,5.81,19.7,17.754237,78.749721,2,3,0,3,1,3,2
151,13.02,6.37,5.57,23.075134,85.659742,2,2,0,3,2,1,1
152,36.24,7.25,28.57,21.379944,77.202478,0,2,0,2,0,2,1
153,18.93,5.71,16.0,33.279002,87.149704,0,2,3,0,2,2,1
154,18.69,7.33,15.04,31.650806,85.47055,3,1,2,0,2,3,2
155,10.28,5.9,37.96,33.309938,70.478205,1,0,2,2,2,3,2
156,36.56,6.25,48.25,32.432187,80.395184,0,4,1,2,0,1,1
157,30.33,6.51,18.13,18.156289,79.055157,4,4,0,3,2,2,1
158,13.81,5.71,18.87,17.605375,84.094096,3,3,0,3,0,2,1
159,13.19,6.0,47.84,21.551081,86.077935,0,2,2,3,2,2,1
160,14.58,7.15,5.98,12.299466,86.945509,2,2,2,1,2,1,1
161,11.77,7.35,20.93,10.866236,82.383531,2,0,1,2,2,1,1
162,40.9,6.46,49.73,18.977803,80.890356,4,0,1,3,1,3,2
163,16.29,6.14,21.08,16.02882,80.673791,4,1,2,2,1,3,2
164,39.63,7.09,36.39,24.077722,73.764673,3,3,3,1,1,3,2
165,16.14,5.58,14.07,11.488899,72.95424,1,1,0,1,1,1,1
166,40.12,7.42,11.14,26.229507,73.484053,2,3,1,1,0,1,1
167,38.51,6.26,6.46,25.991169,72.082205,3,3,1,2,1,3,2
168,22.14,6.14,5.51,29.6755,84.408272,2,2,3,1,0,1,1
169,40.96,6.49,25.31,11.85501,73.402104,4,2,2,3,2,1,1
170,21.83,7.47,7.41,28.050953,84.59948,1,4,1,2,2,2,1
171,13.36,6.29,42.08,15.173825,82.763813,0,2,3,0,0,3,2
172,37.47,6.44,21.62,15.656057,75.37124,2,1,2,1,0,2,1
173,38.29,6.33,35.92,11.973876,88.055544,2,1,0,2,1,2,1
174,16.05,7.47,49.88,32.770112,88.283479,2,0,3,2,2,3,2
175,29.32,7.21,23.65,33.123204,81.253675,1,0,1,2,2,1,1
176,40.73,6.03,32.82,31.973941,83.810275,1,1,3,2,2,3,2
177,10.71,7.13,11.05,28.219985,82.099583,0,1,3,0,2,3,2
178,35.93,7.02,27.81,14.343434,87.503611,3,0,2,1,1,1,1
179,25.98,7.34,6.38,24.672006,76.995198,3,4,1,0,1,2,1
180,10.96,5.6,14.3,34.178459,83.643995,2,1,0,3,1,3,2
181,38.03,5.95,45.3,26.929904,86.486216,3,3,2,1,0,2,1
182,44.98,7.43,7.87,26.40299,89.043756,2,3,0,0,0,2,1
183,36.79,7.3,6.15,19.706873,70.70638,3,3,0,3,1,2,1
184,34.02,6.78,44.44,16.466296,86.166877,0,2,0,3,1,1,1
185,17.78,5.95,43.3,21.805492,73.890876,0,4,3,1,0,2,1
186,24.46,7.24,19.24,25.775819,73.536485,1,1,2,2,2,3,2
187,17.33,7.05,24.52,10.116728,80.675652,4,1,2,3,1,2,1
188,16.67,6.85,22.26,17.455056,75.816556,0,3,1,3,2,3,2
189,22.0,7.3,15.28,22.615839,72.46324,4,2,2,2,2,3,2
190,36.99,6.75,10.21,27.546705,74.109898,4,1,2,0,1,2,1
191,33.16,6.82,37.34,14.966167,73.994988,0,0,0,0,1,1,1
192,20.34,5.58,35.22,33.73615,85.590524,0,0,2,0,2,1,1
193,25.99,7.45,41.07,10.241808,72.767889,0,2,1,1,0,2,1
194,43.43,6.04,17.23,26.221162,85.938191,0,0,2,2,0,2,1
195,24.56,6.68,6.3,22.076991,79.762456,3,4,3,1,1,3,2
196,19.16,6.13,44.29,20.821198,84.533039,2,4,3,3,1,3,2
197,41.22,6.73,8.37,11.258768,74.45413,3,3,3,2,2,2,1
198,26.07,7.1,34.4,10.004243,71.817911,3,4,1,2,1,1,1
199,17.24,6.84,30.21,27.897838,72.280467,1,3,0,2,0,3,2
200,22.43,6.77,11.32,25.271294,73.750868,2,1,3,3,0,3,2
201,38.86,5.88,25.58,23.259109,70.971432,3,0,3,0,0,3,2
202,34.21,5.85,44.66,16.839897,89.271871,1,2,3,1,1,2,1
203,24.45,6.9,14.44,34.533387,83.001728,3,2,1,3,2,3,2
204,29.68,6.67,41.37,26.756354,73.998048,2,1,0,1,0,3,2
205,15.12,5.62,32.72,26.177986,77.777733,0,1,1,2,2,3,2
206,23.56,7.41,32.93,27.738636,77.354822,2,0,0,1,2,2,1
207,25.71,7.47,17.56,10.141128,79.326627,3,1,2,0,0,2,1
208,30.89,7.05,40.28,11.704412,80.102807,3,1,3,1,2,2,1
209,17.74,5.93,42.07,16.008697,82.845287,2,1,0,2,1,3,2
210,23.35,7.09,41.13,14.81281,80.277894,2,1,0,1,1,2,1
211,10.26,5.63,29.2,28.672271,73.075092,1,3,1,0,2,3,2
212,12.56,5.86,25.3,12.957644,70.117979,2,4,2,2,0,2,1
213,34.53,5.65,39.44,21.849692,80.669355,1,4,3,0,0,2,1
214,43.6,5.79,29.91,24.916372,80.743041,1,1,1,1,2,3,2
215,17.41,7.31,10.16,28.776045,89.801528,3,1,2,1,2,3,2
216,18.77,5.89,17.83,25.408561,76.11351,0,4,1,3,2,1,1
217,15.9,6.13,35.58,17.636795,81.033437,0,0,2,1,2,2,1
218,41.2,5.89,31.05,23.586733,89.974564,0,2,0,0,1,3,2
219,17.82,7.04,27.6,28.930152,72.807414,0,0,0,2,0,3,2
220,11.41,7.02,26.14,12.580625,89.368828,4,1,1,1,0,2,1
221,29.05,5.85,48.77,18.625808,85.853149,0,3,2,1,0,1,1
222,25.4,5.96,15.37,21.975529,81.815818,1,2,3,0,1,2,1
223,11.51,6.65,16.62,25.940568,87.57018,2,2,1,0,2,1,1
224,25.72,7.49,34.68,24.913334,71.376858,2,2,0,3,1,2,1
225,17.08,7.22,31.99,26.484815,88.039695,2,4,2,2,1,3,2
226,24.72,7.25,31.51,20.637235,75.090361,4,3,2,2,0,3,2
227,40.69,6.32,5.32,19.056745,73.095572,0,3,1,0,1,3,2
228,24.82,6.23,21.66,18.608908,84.109892,0,3,2,2,2,3,2
229,37.41,7.4,22.51,21.791717,82.004909,3,0,1,0,2,3,2
230,12.8,5.58,33.81,22.953832,73.89493,3,1,0,0,2,2,1
231,33.59,6.22,35.13,27.590548,88.383548,1,2,1,2,0,2,1
232,17.92,7.43,8.26,33.917734,87.522261,0,1,1,0,1,2,1
233,29.71,7.04,10.23,26.922824,74.598603,4,0,1,0,0,1,1
234,10.34,7.16,46.91,16.726895,88.942362,1,3,0,0,1,2,1
235,18.22,5.98,40.05,25.345674,85.284884,4,2,2,1,2,1,1
236,31.72,6.48,14.99,21.958002,80.815359,4,1,3,1,0,3,2
237,44.18,6.9,21.27,21.783634,82.261681,3,0,3,0,0,2,1
238,24.67,7.0,37.44,13.646093,89.182958,4,2,2,3,2,1,1
239,27.49,7.49,30.3,11.500909,86.276361,3,0,2,1,0,3,2
240,19.09,6.22,48.34,14.363471,85.606182,4,1,3,1,1,1,1
241,23.34,6.07,33.41,14.049987,74.564359,4,4,1,1,0,3,2
242,32.56,6.04,12.53,33.510933,84.013939,0,3,0,2,0,1,1
243,13.34,7.37,16.81,17.734266,74.94793,4,4,0,0,2,1,1
244,39.35,5.56,25.02,25.776188,82.717023,3,3,1,1,1,3,2
245,28.89,7.11,41.69,27.194249,79.838633,0,0,1,0,1,1,1
246,37.93,6.69,16.25,15.514811,71.584195,2,0,1,2,0,3,2
247,38.31,6.33,36.52,34.242905,70.442618,0,3,1,2,0,2,1
248,35.03,6.95,49.91,31.088657,89.032881,0,2,3,1,0,2,1
249,26.46,5.88,39.71,21.520866,85.419919,2,3,0,3,0,2,1
250,33.85,6.12,26.66,26.66737,89.465481,4,0,3,0,0,2,1
251,15.86,6.05,31.83,12.285039,82.372897,0,4,2,2,1,2,1
252,32.56,6.9,37.99,16.267406,70.789771,2,1,1,1,0,1,1
253,16.64,5.87,28.9,21.351974,85.518358,1,0,0,3,2,2,1
254,39.99,7.05,28.58,18.065001,82.818079,2,3,2,2,2,2,1
255,16.25,5.56,27.05,15.51807,84.356904,2,2,0,2,1,3,2
256,26.38,6.78,16.96,33.615087,89.211735,4,4,0,0,1,1,1
257,16.63,6.55,9.75,26.631059,87.65648,1,0,0,2,1,3,2
258,27.66,6.82,23.56,24.078618,74.278563,1,0,1,1,0,3,2
259,25.66,6.29,18.52,32.977802,80.22543,0,0,0,1,2,1,1
260,26.11,5.81,30.67,29.822605,73.45805,2,4,2,1,2,3,2
261,11.31,7.12,46.86,25.847178,82.643872,1,1,2,2,0,1,1
262,29.77,6.15,30.89,13.70031,76.723364,0,3,2,2,1,1,1
263,19.19,6.3,22.79,23.106195,74.846302,1,0,3,3,0,3,2
264,13.14,6.84,12.62,25.579554,78.809268,0,3,0,0,0,2,1
265,15.46,6.96,5.62,10.568703,74.180191,3,1,0,3,0,3,2
266,36.26,6.6,45.77,15.017401,83.930534,1,3,3,2,1,3,2
267,23.6,6.04,49.09,31.669319,80.631213,2,4,3,2,2,3,2
268,11.39,7.34,33.14,16.441984,77.743412,1,4,2,1,0,1,1
269,17.9,6.18,15.82,21.22923,72.635443,1,1,0,3,0,1,1
270,34.1,7.3,8.05,28.176988,85.3087,3,1,3,3,0,3,2
271,25.51,7.37,13.31,15.772784,74.643651,4,1,1,0,2,3,2
272,14.69,7.19,12.37,33.135877,89.003961,2,0,0,2,2,1,1
273,16.2,7.41,23.22,19.853768,88.782783,3,4,2,3,0,1,1
274,25.81,7.15,22.43,32.109939,85.47354,1,4,0,0,1,3,2
275,31.46,5.61,40.04,21.272146,73.577572,4,1,0,0,2,3,2
276,18.75,6.88,25.22,29.776665,80.233329,4,4,3,0,1,2,1
277,11.54,5.84,39.61,34.024153,75.775611,1,0,0,3,2,1,1
278,31.79,6.01,14.76,25.030414,70.13146,3,4,1,2,2,3,2
279,38.7,5.92,31.01,12.722191,89.874704,1,3,1,0,1,3,2
280,30.03,6.62,21.59,11.623147,79.416337,1,3,1,1,0,2,1
281,24.48,5.92,37.58,16.491501,81.502854,0,3,0,0,0,3,2
282,27.37,6.96,5.07,29.989109,89.97974,1,3,1,1,2,1,1
283,38.21,5.92,29.75,28.109916,82.319867,0,3,0,1,1,1,1
284,39.18,7.34,25.73,33.194749,71.120446,3,1,1,3,1,3,2
285,10.66,6.65,42.83,24.274541,77.791325,1,3,1,3,0,2,1
286,19.5,5.67,10.05,22.649867,85.980506,0,4,0,1,2,1,1
287,42.33,6.96,37.61,10.102747,88.646747,3,1,2,3,2,2,1
288,41.12,5.71,14.02,26.778101,75.453084,0,0,2,3,0,2,1
289,29.59,5.7,16.02,11.268155,70.579854,2,3,2,1,1,1,1
290,11.88,6.35,21.0,30.232496,71.570912,2,0,3,2,1,2,1
291,13.25,7.1,15.43,32.82154,77.841538,1,2,1,2,0,1,1
292,27.06,5.63,30.86,12.674532,81.122997,0,0,1,1,1,3,2
293,24.03,6.33,41.63,23.613172,74.723086,1,0,2,1,2,3,2
294,14.0,6.69,31.92,18.185206,82.899782,1,0,0,2,2,3,2
295,41.61,6.77,31.01,24.25691,88.264085,3,3,3,2,1,1,1
296,30.4,6.72,36.65,15.881029,84.044438,0,4,1,0,2,2,1
297,23.35,6.59,11.94,10.392695,84.426785,4,0,3,1,0,3,2
298,14.8,7.11,27.92,14.644776,82.091465,3,4,0,3,0,3,2
299,24.38,6.59,26.67,34.589477,89.673368,1,1,3,0,1,3,2
300,28.32,6.72,7.37,22.816578,79.384648,1,4,3,1,1,2,1
301,20.12,5.57,26.29,30.222394,82.48634,0,1,2,0,1,1,1
302,12.69,7.07,12.86,30.196017,75.225052,3,3,3,0,1,3,2
303,40.17,6.19,39.67,15.271419,84.687222,3,3,1,2,0,1,1
304,15.87,6.3,36.75,10.296576,88.544451,2,4,1,2,1,2,1
305,13.41,6.56,17.16,29.328775,84.981818,1,4,0,1,0,1,1
306,33.72,7.49,28.64,16.297403,70.680835,1,1,2,2,2,3,2
307,43.27,6.78,36.3,25.969513,88.453908,1,2,3,3,2,2,1
308,15.67,5.65,24.83,12.710762,80.812643,0,1,2,1,2,2,1
309,13.62,5.65,33.82,18.245772,77.826607,4,1,3,3,1,1,1
310,24.14,6.96,30.53,25.806813,89.176478,4,0,1,2,2,2,1
311,36.62,6.08,22.55,32.130354,78.759675,2,0,2,1,1,1,1
312,35.19,6.69,6.67,12.954678,86.142074,3,4,3,2,2,1,1
313,35.94,5.97,36.56,30.518481,71.945845,1,2,2,0,2,1,1
314,27.4,7.1,10.44,34.11731,74.264637,2,4,0,2,0,3,2
315,14.23,5.78,9.5,31.990674,71.614452,0,4,2,0,2,3,2
316,24.57,7.11,15.77,27.929969,82.240996,1,1,1,2,0,1,1
317,10.16,5.97,39.66,29.915324,83.704875,0,0,3,3,0,3,2
318,15.59,7.35,9.7,22.126535,72.321302,4,2,3,2,2,1,1
319,21.41,5.9,38.2,24.627306,71.086787,1,3,0,0,2,1,1
320,16.23,6.25,6.44,21.464473,73.424026,1,0,1,1,2,3,2
321,37.63,6.78,43.56,16.979272,84.600355,1,2,0,0,0,2,1
322,25.2,5.94,6.8,23.278043,79.585387,3,1,2,2,2,2,1
323,18.42,6.62,34.14,27.582612,87.158442,4,0,2,1,2,1,1
324,37.01,7.25,8.18,28.8222,83.9611,4,0,0,0,1,3,2
325,40.83,6.97,21.45,23.969761,71.340118,2,3,0,0,0,3,2
326,18.35,5.73,39.24,16.928633,71.267384,3,1,3,3,1,2,1
327,39.03,6.44,47.54,12.00426,87.958917,1,3,2,1,1,1,1
328,19.66,6.89,48.63,28.442731,70.429646,2,2,2,1,0,3,2
329,32.56,6.32,18.68,15.669548,77.438046,3,3,2,2,0,1,1
330,19.95,7.41,36.18,11.028786,76.332517,3,1,1,3,1,3,2
331,17.18,6.91,18.57,33.694726,88.556226,0,2,1,3,1,1,1
332,41.36,7.44,36.01,12.921902,70.495912,0,0,0,2,0,3,2
333,13.24,5.61,6.01,34.395988,77.888472,4,1,2,1,2,3,2
334,15.18,7.21,8.94,17.21585,86.113456,0,0,3,2,1,3,2
335,39.24,6.7,46.99,25.97015,75.466577,4,2,3,1,2,3,2
336,16.97,7.16,30.17,16.566926,89.120532,1,2,3,1,0,2,1
337,24.6,6.48,38.55,25.699901,79.520814,2,1,2,0,1,3,2
338,35.65,5.54,12.35,11.217873,75.833282,0,3,2,3,0,2,1
339,36.83,5.87,35.84,30.58287,70.257953,1,2,1,1,0,3,2
340,21.91,7.32,25.72,21.987956,76.231469,4,0,3,0,0,1,1
341,36.73,6.18,15.2,27.270453,85.680594,1,3,3,3,1,1,1
342,16.87,5.57,18.57,15.13503,88.023497,4,4,1,0,2,1,1
343,15.09,6.99,30.66,27.895291,89.285276,2,4,2,3,1,1,1
344,42.22,7.2,42.56,12.821137,89.692255,2,2,2,0,2,2,1
345,27.35,6.22,25.56,15.646836,78.145644,1,2,3,2,0,3,2
346,41.32,7.1,24.71,20.015607,81.811145,3,4,0,0,0,3,2
347,44.13,6.18,39.42,26.095779,78.004711,2,1,3,2,0,3,2
348,19.76,7.04,9.48,34.301814,77.65266,4,3,0,3,2,1,1
349,31.81,7.02,27.41,23.513225,70.353408,0,3,3,1,1,3,2
350,25.75,7.21,12.39,29.100278,81.377104,2,0,3,1,1,2,1
351,39.9,6.51,19.42,18.72192,84.841143,4,3,1,1,0,1,1
352,24.99,7.48,8.82,14.244481,80.768336,4,4,3,1,1,3,2
353,41.55,6.03,30.76,22.418285,86.229144,1,3,0,2,0,2,1
354,22.72,6.37,16.93,28.572201,71.839157,1,1,2,3,0,2,1
355,19.57,6.63,41.19,20.057524,82.499278,1,1,0,1,1,2,1
356,40.19,6.65,37.7,16.009349,84.92867,2,3,3,2,1,1,1
357,40.11,7.32,35.91,10.692604,85.940895,4,1,3,3,0,1,1
358,24.77,7.31,29.78,29.555844,71.106545,1,0,1,1,1,3,2
359,40.35,7.3,10.04,33.741863,88.631113,1,1,2,3,2,3,2
360,14.28,7.11,14.81,20.209389,87.257999,3,3,1,3,0,1,1
361,29.1,6.45,21.55,31.036824,83.244469,2,1,0,2,1,2,1
362,23.46,6.78,22.48,28.916698,75.948458,0,3,0,3,0,2,1
363,40.78,7.03,38.16,12.509889,73.206867,4,1,2,2,0,2,1
