,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area_ISO3
42,Wheat,1998,1485.0,439.89,16.27,ALB
43,Maize,1999,1485.0,502.86,16.57,ALB
44,Potatoes,1999,1485.0,502.86,16.57,ALB
45,Soybeans,1999,1485.0,502.86,16.57,ALB
46,Wheat,1999,1485.0,502.86,16.57,ALB
47,Maize,2000,1485.0,565.82,16.67,ALB
48,Potatoes,2000,1485.0,565.82,16.67,ALB
49,Soybeans,2000,1485.0,565.82,16.67,ALB
50,Wheat,2000,1485.0,565.82,16.67,ALB
51,Maize,2001,1485.0,628.79,16.59,ALB
52,Potatoes,2001,1485.0,628.79,16.59,ALB
53,Soybeans,2001,1485.0,628.79,16.59,ALB
54,Wheat,2001,1485.0,628.79,16.59,ALB
55,Maize,2002,1485.0,691.75,16.47,ALB
56,Potatoes,2002,1485.0,691.75,16.47,ALB
57,Soybeans,2002,1485.0,691.75,16.47,ALB
58,Wheat,2002,1485.0,691.75,16.47,ALB
59,Maize,2004,1485.0,817.68,16.16,ALB
60,Potatoes,2004,1485.0,817.68,16.16,ALB
61,Soybeans,2004,1485.0,817.68,16.16,ALB
62,Wheat,2004,1485.0,817.68,16.16,ALB
63,Maize,2005,1485.0,880.64,15.67,ALB
64,Potatoes,2005,1485.0,880.64,15.67,ALB
65,Soybeans,2005,1485.0,880.64,15.67,ALB
66,Wheat,2005,1485.0,880.64,15.67,ALB
67,Maize,2006,1485.0,943.61,15.92,ALB
68,Potatoes,2006,1485.0,943.61,15.92,ALB
69,Soybeans,2006,1485.0,943.61,15.92,ALB
70,Wheat,2006,1485.0,943.61,15.92,ALB
71,Maize,2007,1485.0,1006.57,16.67,ALB
72,Potatoes,2007,1485.0,1006.57,16.67,ALB
73,Soybeans,2007,1485.0,1006.57,16.67,ALB
74,Wheat,2007,1485.0,1006.57,16.67,ALB
75,Maize,2008,1485.0,1069.54,16.71,ALB
76,Potatoes,2008,1485.0,1069.54,16.71,ALB
77,Soybeans,2008,1485.0,1069.54,16.71,ALB
78,Wheat,2008,1485.0,1069.54,16.71,ALB
79,Maize,2009,1485.0,1132.5,16.73,ALB
80,Potatoes,2009,1485.0,1132.5,16.73,ALB
81,Soybeans,2009,1485.0,1132.5,16.73,ALB
82,Wheat,2009,1485.0,1132.5,16.73,ALB
83,Maize,2010,1485.0,1311.17,16.52,ALB
84,Potatoes,2010,1485.0,1311.17,16.52,ALB
85,Soybeans,2010,1485.0,1311.17,16.52,ALB
86,Wheat,2010,1485.0,1311.17,16.52,ALB
87,Maize,2011,1485.0,1302.63,16.45,ALB
88,Potatoes,2011,1485.0,1302.63,16.45,ALB
89,Soybeans,2011,1485.0,1302.63,16.45,ALB
90,Wheat,2011,1485.0,1302.63,16.45,ALB
91,Maize,2012,1485.0,766.25,16.7,ALB
92,Potatoes,2012,1485.0,766.25,16.7,ALB
93,Soybeans,2012,1485.0,766.25,16.7,ALB
94,Wheat,2012,1485.0,766.25,16.7,ALB
95,Maize,2013,1485.0,982.32,17.41,ALB
96,Potatoes,2013,1485.0,982.32,17.41,ALB
97,Soybeans,2013,1485.0,982.32,17.41,ALB
98,Wheat,2013,1485.0,982.32,17.41,ALB
99,Maize,1990,89.0,1828.92,17.48,DZA
100,Potatoes,1990,89.0,1828.92,17.48,DZA
101,"Rice, paddy",1990,89.0,1828.92,17.48,DZA
102,Sorghum,1990,89.0,1828.92,17.48,DZA
103,Wheat,1990,89.0,1828.92,17.48,DZA
104,Maize,1991,89.0,2461.8,16.26,DZA
105,Potatoes,1991,89.0,2461.8,16.26,DZA
106,"Rice, paddy",1991,89.0,2461.8,16.26,DZA
107,Sorghum,1991,89.0,2461.8,16.26,DZA
108,Wheat,1991,89.0,2461.8,16.26,DZA
109,Maize,1992,89.0,1215.47,16.27,DZA
110,Potatoes,1992,89.0,1215.47,16.27,DZA
111,"Rice, paddy",1992,89.0,1215.47,16.27,DZA
112,Sorghum,1992,89.0,1215.47,16.27,DZA
113,Wheat,1992,89.0,1215.47,16.27,DZA
114,Maize,1993,89.0,1021.89,17.0,DZA
115,Potatoes,1993,89.0,1021.89,17.0,DZA
116,"Rice, paddy",1993,89.0,1021.89,17.0,DZA
117,Sorghum,1993,89.0,1021.89,17.0,DZA
118,Wheat,1993,89.0,1021.89,17.0,DZA
119,Maize,1994,89.0,1255.02,17.88,DZA
120,Potatoes,1994,89.0,1255.02,17.88,DZA
121,"Rice, paddy",1994,89.0,1255.02,17.88,DZA
122,Wheat,1994,89.0,1255.02,17.88,DZA
123,Maize,1995,89.0,2697.09,17.36,DZA
124,Potatoes,1995,89.0,2697.09,17.36,DZA
125,"Rice, paddy",1995,89.0,2697.09,17.36,DZA
126,Sorghum,1995,89.0,2697.09,17.36,DZA
127,Wheat,1995,89.0,2697.09,17.36,DZA
128,Maize,1996,89.0,479.77,16.76,DZA
129,Potatoes,1996,89.0,479.77,16.76,DZA
130,"Rice, paddy",1996,89.0,479.77,16.76,DZA
131,Sorghum,1996,89.0,479.77,16.76,DZA
132,Wheat,1996,89.0,479.77,16.76,DZA
133,Maize,1997,89.0,401.22,17.84,DZA
134,Potatoes,1997,89.0,401.22,17.84,DZA
135,"Rice, paddy",1997,89.0,401.22,17.84,DZA
136,Sorghum,1997,89.0,401.22,17.84,DZA
137,Wheat,1997,89.0,401.22,17.84,DZA
138,Maize,1998,89.0,322.84,17.14,DZA
139,Potatoes,1998,89.0,322.84,17.14,DZA
140,"Rice, paddy",1998,89.0,322.84,17.14,DZA
141,Sorghum,1998,89.0,322.84,17.14,DZA
142,Wheat,1998,89.0,322.84,17.14,DZA
143,Maize,1999,89.0,654.45,17.97,DZA
144,Potatoes,1999,89.0,654.45,17.97,DZA
145,"Rice, paddy",1999,89.0,654.45,17.97,DZA
146,Sorghum,1999,89.0,654.45,17.97,DZA
147,Wheat,1999,89.0,654.45,17.97,DZA
148,Maize,2000,89.0,603.67,17.9,DZA
149,Potatoes,2000,89.0,603.67,17.9,DZA
150,"Rice, paddy",2000,89.0,603.67,17.9,DZA
151,Sorghum,2000,89.0,603.67,17.9,DZA
152,Wheat,2000,89.0,603.67,17.9,DZA
153,Maize,2001,89.0,710.11,18.13,DZA
154,Potatoes,2001,89.0,710.11,18.13,DZA
155,"Rice, paddy",2001,89.0,710.11,18.13,DZA
156,Sorghum,2001,89.0,710.11,18.13,DZA
157,Wheat,2001,89.0,710.11,18.13,DZA
158,Maize,2002,89.0,816.55,17.85,DZA
159,Potatoes,2002,89.0,816.55,17.85,DZA
160,"Rice, paddy",2002,89.0,816.55,17.85,DZA
161,Sorghum,2002,89.0,816.55,17.85,DZA
162,Wheat,2002,89.0,816.55,17.85,DZA
163,Maize,2004,89.0,3747.86,17.38,DZA
164,Potatoes,2004,89.0,3747.86,17.38,DZA
165,"Rice, paddy",2004,89.0,3747.86,17.38,DZA
166,Sorghum,2004,89.0,3747.86,17.38,DZA
167,Wheat,2004,89.0,3747.86,17.38,DZA
168,Maize,2005,89.0,3662.87,17.19,DZA
169,Potatoes,2005,89.0,3662.87,17.19,DZA
170,"Rice, paddy",2005,89.0,3662.87,17.19,DZA
171,Sorghum,2005,89.0,3662.87,17.19,DZA
172,Wheat,2005,89.0,3662.87,17.19,DZA
173,Maize,2006,89.0,4110.72,18.13,DZA
174,Potatoes,2006,89.0,4110.72,18.13,DZA
175,"Rice, paddy",2006,89.0,4110.72,18.13,DZA
176,Sorghum,2006,89.0,4110.72,18.13,DZA
177,Wheat,2006,89.0,4110.72,18.13,DZA
178,Maize,2007,89.0,5390.79,17.42,DZA
179,Potatoes,2007,89.0,5390.79,17.42,DZA
180,"Rice, paddy",2007,89.0,5390.79,17.42,DZA
181,Sorghum,2007,89.0,5390.79,17.42,DZA
182,Wheat,2007,89.0,5390.79,17.42,DZA
183,Maize,2008,89.0,11556.12,17.55,DZA
184,Potatoes,2008,89.0,11556.12,17.55,DZA
185,"Rice, paddy",2008,89.0,11556.12,17.55,DZA
186,Sorghum,2008,89.0,11556.12,17.55,DZA
187,Wheat,2008,89.0,11556.12,17.55,DZA
188,Maize,2009,89.0,3867.99,17.78,DZA
189,Potatoes,2009,89.0,3867.99,17.78,DZA
190,"Rice, paddy",2009,89.0,3867.99,17.78,DZA
191,Sorghum,2009,89.0,3867.99,17.78,DZA
192,Wheat,2009,89.0,3867.99,17.78,DZA
193,Maize,2010,89.0,1295.88,17.59,DZA
194,Potatoes,2010,89.0,1295.88,17.59,DZA
195,"Rice, paddy",2010,89.0,1295.88,17.59,DZA
196,Sorghum,2010,89.0,1295.88,17.59,DZA
197,Wheat,2010,89.0,1295.88,17.59,DZA
198,Maize,2011,89.0,13861.76,17.79,DZA
199,Potatoes,2011,89.0,13861.76,17.79,DZA
200,"Rice, paddy",2011,89.0,13861.76,17.79,DZA
201,Sorghum,2011,89.0,13861.76,17.79,DZA
202,Wheat,2011,89.0,13861.76,17.79,DZA
203,Maize,2012,89.0,17379.76,17.91,DZA
204,Potatoes,2012,89.0,17379.76,17.91,DZA
205,"Rice, paddy",2012,89.0,17379.76,17.91,DZA
206,Sorghum,2012,89.0,17379.76,17.91,DZA
207,Wheat,2012,89.0,17379.76,17.91,DZA
208,Maize,2013,89.0,17278.65,17.65,DZA
209,Potatoes,2013,89.0,17278.65,17.65,DZA
210,"Rice, paddy",2013,89.0,17278.65,17.65,DZA
211,Sorghum,2013,89.0,17278.65,17.65,DZA
212,Wheat,2013,89.0,17278.65,17.65,DZA
213,Cassava,1990,1010.0,64.0,24.12,AGO
214,Maize,1990,1010.0,64.0,24.12,AGO
215,Potatoes,1990,1010.0,64.0,24.12,AGO
216,"Rice, paddy",1990,1010.0,64.0,24.12,AGO
217,Sweet potatoes,1990,1010.0,64.0,24.12,AGO
218,Wheat,1990,1010.0,64.0,24.12,AGO
219,Cassava,1991,1010.0,79.0,24.02,AGO
220,Maize,1991,1010.0,79.0,24.02,AGO
221,Potatoes,1991,1010.0,79.0,24.02,AGO
222,"Rice, paddy",1991,1010.0,79.0,24.02,AGO
223,Sweet potatoes,1991,1010.0,79.0,24.02,AGO
224,Wheat,1991,1010.0,79.0,24.02,AGO
225,Cassava,1992,1010.0,23.0,23.96,AGO
226,Maize,1992,1010.0,23.0,23.96,AGO
227,Potatoes,1992,1010.0,23.0,23.96,AGO
228,"Rice, paddy",1992,1010.0,23.0,23.96,AGO
229,Sweet potatoes,1992,1010.0,23.0,23.96,AGO
230,Wheat,1992,1010.0,23.0,23.96,AGO
231,Cassava,1993,1010.0,169.0,24.15,AGO
232,Maize,1993,1010.0,169.0,24.15,AGO
233,Potatoes,1993,1010.0,169.0,24.15,AGO
234,"Rice, paddy",1993,1010.0,169.0,24.15,AGO
235,Sweet potatoes,1993,1010.0,169.0,24.15,AGO
236,Wheat,1993,1010.0,169.0,24.15,AGO
237,Cassava,1994,1010.0,25.5,24.04,AGO
238,Maize,1994,1010.0,25.5,24.04,AGO
239,Potatoes,1994,1010.0,25.5,24.04,AGO
240,"Rice, paddy",1994,1010.0,25.5,24.04,AGO
241,Sweet potatoes,1994,1010.0,25.5,24.04,AGO
242,Wheat,1994,1010.0,25.5,24.04,AGO
243,Cassava,1995,1010.0,336.0,24.56,AGO
244,Maize,1995,1010.0,336.0,24.56,AGO
245,Potatoes,1995,1010.0,336.0,24.56,AGO
246,"Rice, paddy",1995,1010.0,336.0,24.56,AGO
247,Sweet potatoes,1995,1010.0,336.0,24.56,AGO
248,Wheat,1995,1010.0,336.0,24.56,AGO
249,Cassava,1996,1010.0,40.0,24.11,AGO
250,Maize,1996,1010.0,40.0,24.11,AGO
251,Potatoes,1996,1010.0,40.0,24.11,AGO
252,"Rice, paddy",1996,1010.0,40.0,24.11,AGO
253,Sweet potatoes,1996,1010.0,40.0,24.11,AGO
254,Wheat,1996,1010.0,40.0,24.11,AGO
255,Cassava,1997,1010.0,40.0,24.06,AGO
256,Maize,1997,1010.0,40.0,24.06,AGO
257,Potatoes,1997,1010.0,40.0,24.06,AGO
258,"Rice, paddy",1997,1010.0,40.0,24.06,AGO
259,Sweet potatoes,1997,1010.0,40.0,24.06,AGO
260,Wheat,1997,1010.0,40.0,24.06,AGO
261,Cassava,1998,1010.0,40.0,24.96,AGO
262,Maize,1998,1010.0,40.0,24.96,AGO
263,Potatoes,1998,1010.0,40.0,24.96,AGO
264,"Rice, paddy",1998,1010.0,40.0,24.96,AGO
265,Sweet potatoes,1998,1010.0,40.0,24.96,AGO
266,Wheat,1998,1010.0,40.0,24.96,AGO
267,Cassava,1999,1010.0,40.0,24.37,AGO
268,Maize,1999,1010.0,40.0,24.37,AGO
269,Potatoes,1999,1010.0,40.0,24.37,AGO
270,"Rice, paddy",1999,1010.0,40.0,24.37,AGO
271,Sweet potatoes,1999,1010.0,40.0,24.37,AGO
272,Wheat,1999,1010.0,40.0,24.37,AGO
273,Cassava,2000,1010.0,40.0,24.41,AGO
274,Maize,2000,1010.0,40.0,24.41,AGO
275,Potatoes,2000,1010.0,40.0,24.41,AGO
276,"Rice, paddy",2000,1010.0,40.0,24.41,AGO
277,Sorghum,2000,1010.0,40.0,24.41,AGO
278,Soybeans,2000,1010.0,40.0,24.41,AGO
279,Sweet potatoes,2000,1010.0,40.0,24.41,AGO
280,Wheat,2000,1010.0,40.0,24.41,AGO
281,Cassava,2001,1010.0,40.0,24.43,AGO
282,Maize,2001,1010.0,40.0,24.43,AGO
283,Potatoes,2001,1010.0,40.0,24.43,AGO
284,"Rice, paddy",2001,1010.0,40.0,24.43,AGO
285,Sorghum,2001,1010.0,40.0,24.43,AGO
286,Soybeans,2001,1010.0,40.0,24.43,AGO
287,Sweet potatoes,2001,1010.0,40.0,24.43,AGO
288,Wheat,2001,1010.0,40.0,24.43,AGO
289,Cassava,2002,1010.0,40.0,24.79,AGO
290,Maize,2002,1010.0,40.0,24.79,AGO
291,Potatoes,2002,1010.0,40.0,24.79,AGO
292,"Rice, paddy",2002,1010.0,40.0,24.79,AGO
293,Sorghum,2002,1010.0,40.0,24.79,AGO
294,Soybeans,2002,1010.0,40.0,24.79,AGO
295,Sweet potatoes,2002,1010.0,40.0,24.79,AGO
296,Wheat,2002,1010.0,40.0,24.79,AGO
297,Cassava,2004,1010.0,40.0,24.22,AGO
298,Maize,2004,1010.0,40.0,24.22,AGO
299,Potatoes,2004,1010.0,40.0,24.22,AGO
300,"Rice, paddy",2004,1010.0,40.0,24.22,AGO
301,Sorghum,2004,1010.0,40.0,24.22,AGO
302,Soybeans,2004,1010.0,40.0,24.22,AGO
303,Sweet potatoes,2004,1010.0,40.0,24.22,AGO
304,Wheat,2004,1010.0,40.0,24.22,AGO
305,Cassava,2005,1010.0,40.0,24.41,AGO
306,Maize,2005,1010.0,40.0,24.41,AGO
307,Potatoes,2005,1010.0,40.0,24.41,AGO
308,"Rice, paddy",2005,1010.0,40.0,24.41,AGO
309,Sorghum,2005,1010.0,40.0,24.41,AGO
310,Soybeans,2005,1010.0,40.0,24.41,AGO
311,Sweet potatoes,2005,1010.0,40.0,24.41,AGO
312,Wheat,2005,1010.0,40.0,24.41,AGO
313,Cassava,2006,1010.0,40.0,24.14,AGO
314,Maize,2006,1010.0,40.0,24.14,AGO
315,Potatoes,2006,1010.0,40.0,24.14,AGO
316,"Rice, paddy",2006,1010.0,40.0,24.14,AGO
317,Sorghum,2006,1010.0,40.0,24.14,AGO
318,Soybeans,2006,1010.0,40.0,24.14,AGO
319,Sweet potatoes,2006,1010.0,40.0,24.14,AGO
320,Wheat,2006,1010.0,40.0,24.14,AGO
321,Cassava,2007,1010.0,40.0,24.24,AGO
322,Maize,2007,1010.0,40.0,24.24,AGO
323,Potatoes,2007,1010.0,40.0,24.24,AGO
324,"Rice, paddy",2007,1010.0,40.0,24.24,AGO
325,Sorghum,2007,1010.0,40.0,24.24,AGO
326,Soybeans,2007,1010.0,40.0,24.24,AGO
327,Sweet potatoes,2007,1010.0,40.0,24.24,AGO
328,Wheat,2007,1010.0,40.0,24.24,AGO
329,Cassava,2008,1010.0,40.0,24.27,AGO
330,Maize,2008,1010.0,40.0,24.27,AGO
331,Potatoes,2008,1010.0,40.0,24.27,AGO
332,"Rice, paddy",2008,1010.0,40.0,24.27,AGO
333,Sorghum,2008,1010.0,40.0,24.27,AGO
334,Soybeans,2008,1010.0,40.0,24.27,AGO
335,Sweet potatoes,2008,1010.0,40.0,24.27,AGO
336,Wheat,2008,1010.0,40.0,24.27,AGO
337,Cassava,2009,1010.0,40.0,24.33,AGO
338,Maize,2009,1010.0,40.0,24.33,AGO
339,Potatoes,2009,1010.0,40.0,24.33,AGO
340,"Rice, paddy",2009,1010.0,40.0,24.33,AGO
341,Sorghum,2009,1010.0,40.0,24.33,AGO
342,Soybeans,2009,1010.0,40.0,24.33,AGO
343,Sweet potatoes,2009,1010.0,40.0,24.33,AGO
344,Wheat,2009,1010.0,40.0,24.33,AGO
345,Cassava,2010,1010.0,40.0,24.44,AGO
346,Maize,2010,1010.0,40.0,24.44,AGO
347,Potatoes,2010,1010.0,40.0,24.44,AGO
348,"Rice, paddy",2010,1010.0,40.0,24.44,AGO
349,Sorghum,2010,1010.0,40.0,24.44,AGO
350,Soybeans,2010,1010.0,40.0,24.44,AGO
351,Sweet potatoes,2010,1010.0,40.0,24.44,AGO
352,Wheat,2010,1010.0,40.0,24.44,AGO
353,Cassava,2011,1010.0,40.0,24.15,AGO
354,Maize,2011,1010.0,40.0,24.15,AGO
355,Potatoes,2011,1010.0,40.0,24.15,AGO
356,"Rice, paddy",2011,1010.0,40.0,24.15,AGO
357,Sorghum,2011,1010.0,40.0,24.15,AGO
358,Soybeans,2011,1010.0,40.0,24.15,AGO
359,Sweet potatoes,2011,1010.0,40.0,24.15,AGO
360,Wheat,2011,1010.0,40.0,24.15,AGO
361,Cassava,2012,1010.0,40.0,24.24,AGO
362,Maize,2012,1010.0,40.0,24.24,AGO
363,Potatoes,2012,1010.0,40.0,24.24,AGO
364,"Rice, paddy",2012,1010.0,40.0,24.24,AGO
365,Sorghum,2012,1010.0,40.0,24.24,AGO
366,Soybeans,2012,1010.0,40.0,24.24,AGO
367,Sweet potatoes,2012,1010.0,40.0,24.24,AGO
368,Wheat,2012,1010.0,40.0,24.24,AGO
369,Cassava,2013,1010.0,40.0,24.55,AGO
370,Maize,2013,1010.0,40.0,24.55,AGO
371,Potatoes,2013,1010.0,40.0,24.55,AGO
372,"Rice, paddy",2013,1010.0,40.0,24.55,AGO
373,Sorghum,2013,1010.0,40.0,24.55,AGO
374,Soybeans,2013,1010.0,40.0,24.55,AGO
375,Sweet potatoes,2013,1010.0,40.0,24.55,AGO
376,Wheat,2013,1010.0,40.0,24.55,AGO
377,Cassava,1990,591.0,26156.0,17.46,ARG
378,Cassava,1990,591.0,26156.0,17.67,ARG
379,Maize,1990,591.0,26156.0,17.46,ARG
380,Maize,1990,591.0,26156.0,17.67,ARG
381,Potatoes,1990,591.0,26156.0,17.46,ARG
382,Potatoes,1990,591.0,26156.0,17.67,ARG
383,"Rice, paddy",1990,591.0,26156.0,17.46,ARG
384,"Rice, paddy",1990,591.0,26156.0,17.67,ARG
385,Sorghum,1990,591.0,26156.0,17.46,ARG
386,Sorghum,1990,591.0,26156.0,17.67,ARG
387,Soybeans,1990,591.0,26156.0,17.46,ARG
388,Soybeans,1990,591.0,26156.0,17.67,ARG
389,Sweet potatoes,1990,591.0,26156.0,17.46,ARG
390,Sweet potatoes,1990,591.0,26156.0,17.67,ARG
391,Wheat,1990,591.0,26156.0,17.46,ARG
392,Wheat,1990,591.0,26156.0,17.67,ARG
393,Cassava,1991,591.0,26156.0,17.64,ARG
394,Cassava,1991,591.0,26156.0,17.86,ARG
395,Maize,1991,591.0,26156.0,17.64,ARG
396,Maize,1991,591.0,26156.0,17.86,ARG
397,Potatoes,1991,591.0,26156.0,17.64,ARG
398,Potatoes,1991,591.0,26156.0,17.86,ARG
399,"Rice, paddy",1991,591.0,26156.0,17.64,ARG
400,"Rice, paddy",1991,591.0,26156.0,17.86,ARG
401,Sorghum,1991,591.0,26156.0,17.64,ARG
402,Sorghum,1991,591.0,26156.0,17.86,ARG
403,Soybeans,1991,591.0,26156.0,17.64,ARG
404,Soybeans,1991,591.0,26156.0,17.86,ARG
405,Sweet potatoes,1991,591.0,26156.0,17.64,ARG
406,Sweet potatoes,1991,591.0,26156.0,17.86,ARG
407,Wheat,1991,591.0,26156.0,17.64,ARG
408,Wheat,1991,591.0,26156.0,17.86,ARG
409,Cassava,1992,591.0,26156.0,17.09,ARG
410,Cassava,1992,591.0,26156.0,17.51,ARG
411,Maize,1992,591.0,26156.0,17.09,ARG
412,Maize,1992,591.0,26156.0,17.51,ARG
413,Potatoes,1992,591.0,26156.0,17.09,ARG
414,Potatoes,1992,591.0,26156.0,17.51,ARG
415,"Rice, paddy",1992,591.0,26156.0,17.09,ARG
416,"Rice, paddy",1992,591.0,26156.0,17.51,ARG
417,Sorghum,1992,591.0,26156.0,17.09,ARG
418,Sorghum,1992,591.0,26156.0,17.51,ARG
419,Soybeans,1992,591.0,26156.0,17.09,ARG
420,Soybeans,1992,591.0,26156.0,17.51,ARG
421,Sweet potatoes,1992,591.0,26156.0,17.09,ARG
422,Sweet potatoes,1992,591.0,26156.0,17.51,ARG
423,Wheat,1992,591.0,26156.0,17.09,ARG
424,Wheat,1992,591.0,26156.0,17.51,ARG
425,Cassava,1993,591.0,26156.0,17.32,ARG
426,Cassava,1993,591.0,26156.0,17.53,ARG
427,Maize,1993,591.0,26156.0,17.32,ARG
428,Maize,1993,591.0,26156.0,17.53,ARG
429,Potatoes,1993,591.0,26156.0,17.32,ARG
430,Potatoes,1993,591.0,26156.0,17.53,ARG
431,"Rice, paddy",1993,591.0,26156.0,17.32,ARG
432,"Rice, paddy",1993,591.0,26156.0,17.53,ARG
433,Sorghum,1993,591.0,26156.0,17.32,ARG
434,Sorghum,1993,591.0,26156.0,17.53,ARG
435,Soybeans,1993,591.0,26156.0,17.32,ARG
436,Soybeans,1993,591.0,26156.0,17.53,ARG
437,Sweet potatoes,1993,591.0,26156.0,17.32,ARG
438,Sweet potatoes,1993,591.0,26156.0,17.53,ARG
439,Wheat,1993,591.0,26156.0,17.32,ARG
440,Wheat,1993,591.0,26156.0,17.53,ARG
441,Cassava,1994,591.0,30195.0,18.17,ARG
442,Cassava,1994,591.0,30195.0,18.31,ARG
443,Maize,1994,591.0,30195.0,18.17,ARG
444,Maize,1994,591.0,30195.0,18.31,ARG
445,Potatoes,1994,591.0,30195.0,18.17,ARG
446,Potatoes,1994,591.0,30195.0,18.31,ARG
447,"Rice, paddy",1994,591.0,30195.0,18.17,ARG
448,"Rice, paddy",1994,591.0,30195.0,18.31,ARG
449,Sorghum,1994,591.0,30195.0,18.17,ARG
450,Sorghum,1994,591.0,30195.0,18.31,ARG
451,Soybeans,1994,591.0,30195.0,18.17,ARG
452,Soybeans,1994,591.0,30195.0,18.31,ARG
453,Sweet potatoes,1994,591.0,30195.0,18.17,ARG
454,Sweet potatoes,1994,591.0,30195.0,18.31,ARG
455,Wheat,1994,591.0,30195.0,18.17,ARG
456,Wheat,1994,591.0,30195.0,18.31,ARG
457,Cassava,1995,591.0,37842.0,17.74,ARG
458,Cassava,1995,591.0,37842.0,17.62,ARG
459,Maize,1995,591.0,37842.0,17.74,ARG
460,Maize,1995,591.0,37842.0,17.62,ARG
461,Potatoes,1995,591.0,37842.0,17.74,ARG
462,Potatoes,1995,591.0,37842.0,17.62,ARG
463,"Rice, paddy",1995,591.0,37842.0,17.74,ARG
464,"Rice, paddy",1995,591.0,37842.0,17.62,ARG
465,Sorghum,1995,591.0,37842.0,17.74,ARG
466,Sorghum,1995,591.0,37842.0,17.62,ARG
467,Soybeans,1995,591.0,37842.0,17.74,ARG
468,Soybeans,1995,591.0,37842.0,17.62,ARG
469,Sweet potatoes,1995,591.0,37842.0,17.74,ARG
470,Sweet potatoes,1995,591.0,37842.0,17.62,ARG
471,Wheat,1995,591.0,37842.0,17.74,ARG
472,Wheat,1995,591.0,37842.0,17.62,ARG
473,Cassava,1996,591.0,54595.0,17.64,ARG
474,Cassava,1996,591.0,54595.0,17.97,ARG
475,Maize,1996,591.0,54595.0,17.64,ARG
476,Maize,1996,591.0,54595.0,17.97,ARG
477,Potatoes,1996,591.0,54595.0,17.64,ARG
478,Potatoes,1996,591.0,54595.0,17.97,ARG
479,"Rice, paddy",1996,591.0,54595.0,17.64,ARG
480,"Rice, paddy",1996,591.0,54595.0,17.97,ARG
481,Sorghum,1996,591.0,54595.0,17.64,ARG
482,Sorghum,1996,591.0,54595.0,17.97,ARG
483,Soybeans,1996,591.0,54595.0,17.64,ARG
484,Soybeans,1996,591.0,54595.0,17.97,ARG
485,Sweet potatoes,1996,591.0,54595.0,17.64,ARG
486,Sweet potatoes,1996,591.0,54595.0,17.97,ARG
487,Wheat,1996,591.0,54595.0,17.64,ARG
488,Wheat,1996,591.0,54595.0,17.97,ARG
489,Cassava,1997,591.0,77691.0,18.29,ARG
490,Cassava,1997,591.0,77691.0,18.54,ARG
491,Maize,1997,591.0,77691.0,18.29,ARG
492,Maize,1997,591.0,77691.0,18.54,ARG
493,Potatoes,1997,591.0,77691.0,18.29,ARG
494,Potatoes,1997,591.0,77691.0,18.54,ARG
495,"Rice, paddy",1997,591.0,77691.0,18.29,ARG
